组件名称,职责,接口,依赖,生命周期,通信方式
ComplexityAssessor,任务复杂度评估,assess(task)->ComplexityResult,无,单例,同步
ModelSelector,智能模型选择,select(complexity,task_type)->ModelSelection,ModelRegistry,单例,同步
CostOptimizer,预算控制与成本追踪,track(cost)->BudgetStatus,无,单例,同步
DAGBuilder,DAG任务分解,build(task)->DAG,TaskSplitter,单例,同步
TaskSplitter,原子任务拆分,split(task)->List[SubTask],无,请求级,同步
DependencyAnalyzer,依赖分析,analyze(tasks)->DAGEdges,无,请求级,同步
StagedExecutor,分阶段执行,execute(dag,stages)->ExecutionResult,ParallelWorker,请求级,异步
ParallelWorker,并行执行子任务,run(tasks)->List[Result],ModelRegistry,请求级,异步
Assembler,结果组装,assemble(results)->FinalResult,无,请求级,同步
ModelRegistry,模型配置管理,get_model(tier)->ModelConfig,配置文件,单例,同步
