视图名称,元素,说明
逻辑视图,router复杂度评估模块,评估任务复杂度(关键词/分类器/混合)
逻辑视图,router模型选择模块,根据复杂度+任务类型选择模型Tier
逻辑视图,router成本优化器,预算控制+成本追踪+成本报告
逻辑视图,decomposer DAG构建器,任务→有向无环图(节点+边+关键路径)
逻辑视图,decomposer任务拆分器,原子任务拆分+依赖分析
逻辑视图,executor分阶段执行器,生成→修复→精炼分阶段执行
逻辑视图,executor并行工作者,asyncio并行执行子任务
逻辑视图,executor结果组装器,自动合并子结果为最终输出
逻辑视图,models模型注册表,模型Tier配置+API配置
逻辑视图,cli CLI入口,assess/select/decompose/execute/assemble
进程视图,CLI进程,用户命令行交互入口
进程视图,评估进程,同步执行复杂度评估
进程视图,执行进程,异步执行DAG任务
进程视图,模型API进程,异步调用外部模型API
开发视图,router包,路由层(复杂度+模型选择+成本)
开发视图,decomposer包,分解层(DAG构建+任务拆分+依赖分析)
开发视图,executor包,执行层(分阶段+并行+组装)
开发视图,models包,模型注册表
开发视图,cli入口,CLI命令绑定
物理视图,本地开发机,Python 3.11+环境
物理视图,模型API,外部模型服务(OpenAI/Anthropic/本地)
+1场景,评估→选择→分解→执行→组装,核心工作流端到端验证
+1场景,预算超支验证,成本阈值触发告警验证
+1场景,并行执行验证,10+节点并行执行验证
