层级,元素,说明
Context,dev-model-router系统,多模型分层编排工具
Context,用户(开发者),通过CLI/API输入任务
Context,外部模型服务,OpenAI/Anthropic/本地模型API
Container,CLI容器,命令行接口(assess/select/decompose/execute/assemble)
Container,路由容器,router包(复杂度评估+模型选择+成本优化)
Container,分解容器,decomposer包(DAG构建+任务拆分)
Container,执行容器,executor包(分阶段执行+并行+组装)
Container,模型容器,models包(模型注册表+API配置)
Component,ComplexityAssessor,任务复杂度评估组件
Component,ModelSelector,智能模型选择组件
Component,CostOptimizer,成本优化组件
Component,DAGBuilder,DAG构建组件
Component,TaskSplitter,任务拆分组件
Component,StagedExecutor,分阶段执行组件
Component,ParallelWorker,并行执行组件
Component,Assembler,结果组装组件
Component,ModelRegistry,模型注册表组件
Code,cli.py,CLI入口代码
Code,router/complexity.py,复杂度评估实现
Code,router/model_selector.py,模型选择实现
Code,router/cost_optimizer.py,成本优化实现
Code,decomposer/dag_builder.py,DAG构建实现
Code,decomposer/task_splitter.py,任务拆分实现
Code,decomposer/dependency.py,依赖分析实现
Code,executor/staged_executor.py,分阶段执行实现
Code,executor/parallel_worker.py,并行执行实现
Code,executor/assembler.py,结果组装实现
Code,models/registry.py,模型注册表实现
