交付物编号,交付物名称,类型,路径,版本,状态
D-001,核心路由引擎,代码,router/,v1.0.0,已完成
D-002,DAG构建器,代码,decomposer/,v1.0.0,已完成
D-003,分阶段执行器,代码,executor/,v1.0.0,已完成
D-004,模型注册表,代码,models/,v1.0.0,已完成
D-005,CLI入口,代码,cli.py,v1.0.0,已完成
D-006,项目章程,文档,项目章程.md,v1.0.0,已完成
D-007,项目铁律,文档,项目铁律.md,v1.0.0,已完成
D-008,需求规格,文档,requirements/SRS_v1.0/,v1.0.0,已完成
D-009,架构设计,文档,架构资产/,v1.0.0,已完成
D-010,测试报告,文档,测试资产/测试报告.csv,v1.0.0,已完成
D-011,迭代回顾,文档,台账/19_迭代回顾.csv,v1.0.0,已完成
D-012,复用资产,文档,台账/23_复用资产.csv,v1.0.0,已完成
D-013,CLI冒烟测试,代码,tests/test_cli.py,v2.0.0,已完成
D-014,E2E链路测试,代码,tests/test_e2e.py,v2.0.0,已完成
D-015,多视角验证报告,文档,台账/评审报告_多视角验证_IT-02.csv,v2.0.0,已完成
D-016,阶段复盘记录,文档,台账/22_阶段复盘.csv,v2.0.0,已完成
